URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://hl7.pt/fhir/Terminologias/ValueSet/cpara-allergy-intolerance-type-vs,1.0.0,active,"2.16.620.1.101.10.4.6.89",CPARAAllergyIntoleranceTypeVS,CPARA - Allergy Intolerance Type,"Conjunto de valores AllergyIntoleranceType (CPARA v5.1.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cpara-reaction-manifestation-vs,1.0.0,active,"2.16.620.1.101.10.4.6.90",CPARAReactionManifestationVS,CPARA - Reaction Manifestation,"Conjunto de valores ReactionManifestation (CPARA v5.1.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-additional-arrangement-vs,1.0.0,active,"2.16.620.1.101.10.4.6.19",CPARADMAdditionalArrangementVS,CPARADM - Additional Arrangement,"Conjunto de valores AdditionalArrangement (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-administrative-emergency-cause-of-admission-vs,1.0.0,active,"2.16.620.1.101.10.4.6.30",CPARADMAdministrativeEmergencyCauseOfAdmissionVS,CPARADM - Adm Emergency Cause Admission,"Conjunto de valores AdministrativeEmergencyCauseOfAdmission (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-cancellation-reason-vs,1.0.0,active,"2.16.620.1.101.10.4.6.169",CPARADMCancellationReasonVS,CPARADM - Cancellation Reason,"Conjunto de valores CancellationReason (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-cause-of-admission-vs,1.0.0,active,"2.16.620.1.101.10.4.6.33",CPARADMCauseOfAdmissionVS,CPARADM - Cause of Admission,"Conjunto de valores CauseOfAdmission (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-cefrlevels-vs,1.0.0,active,"2.16.620.1.101.10.4.6.20",CPARADMCEFRLevelsVS,CPARADM - CEFR Level,"Conjunto de valores CEFRLevels (CPARADM v3.0.0).",,"Internal"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-clinical-outcome-vs,1.0.0,active,"2.16.620.1.101.10.4.6.160",CPARADMClinicalOutcomeVS,CPARADM - Clinical Outcome,"Conjunto de valores ClinicalOutcome (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-communication-mode-vs,1.0.0,active,"2.16.620.1.101.10.4.6.170",CPARADMCommunicationModeVS,CPARADM - Communication Mode,"Conjunto de valores CommunicationMode (CPARADM v3.0.0).",,"SCT,Other"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-communication-type-vs,1.0.0,active,"2.16.620.1.101.10.4.6.21",CPARADMCommunicationTypeVS,CPARADM - Communication Type,"Conjunto de valores CommunicationType (CPARADM v3.0.0).",,"SCT"
